消息ID,消息名称,消息长度,周期时间(ms),发送者,消息备注(JSON),信号名称,起始位,长度(bit),字节序,有符号,初值,缩放系数,偏移,最小值,最大值,单位,接收者,备注(JSON)
0x0CFF05EF,TM_HCU_Command,8,10,HCU,,TM_MCU_Enable,0,1,little_endian,否,,1,0,0,1,,TM_MCU,"{""0"": ""disable"", ""1"": ""enable""}"
0x0CFF05EF,TM_HCU_Command,8,10,HCU,,TM_Fault_Reset,1,1,little_endian,否,,1,0,0,1,,TM_MCU,"{""0"": ""disable"", ""1"": ""enable""}"
0x0CFF05EF,TM_HCU_Command,8,10,HCU,,TM_Control_Mode,2,2,little_endian,否,,1,0,0,3,,TM_MCU,"{""0"": ""Reserved"", ""1"": ""Speed Control"", ""2"": ""Torque Control"", ""3"": ""Active Discharge""}"
0x0CFF05EF,TM_HCU_Command,8,10,HCU,,TM_Gear,4,2,little_endian,否,,1,0,0,2,,TM_MCU,"{""0"": ""Neutral"", ""1"": ""Drive"", ""2"": ""Reverse""}"
0x0CFF05EF,TM_HCU_Command,8,10,HCU,,TM_FootBrake,6,1,little_endian,否,,1,0,0,1,,TM_MCU,"{""0"": ""No FootBrake"", ""1"": ""FootBrake""}"
0x0CFF05EF,TM_HCU_Command,8,10,HCU,,TM_HandBrake,7,1,little_endian,否,,1,0,0,1,,TM_MCU,"{""0"": ""No HandBrake"", ""1"": ""HandBrake""}"
0x0CFF05EF,TM_HCU_Command,8,10,HCU,,TM_Demand_Limit_High,8,12,little_endian,否,,4,0,0,16384,rpm,TM_MCU,"{""description"": ""转速指令限值上限，转矩控制模式时起作用""}"
0x0CFF05EF,TM_HCU_Command,8,10,HCU,,TM_Demand_Limit_Low,20,12,little_endian,否,,4,0,0,16384,rpm,TM_MCU,"{""description"": ""转速指令限值下限，转矩控制模式时起作用，网络发送正值但电机控制器按负值处理""}"
0x0CFF05EF,TM_HCU_Command,8,10,HCU,,TM_Demand_Torque,32,16,little_endian,否,,1,-5000,-5000,5000,Nm,TM_MCU,"{""description"": ""转矩的正负表示力的方向，发动机旋转方向为正向""}"
0x0CFF05EF,TM_HCU_Command,8,10,HCU,,TM_Demand_Speed,48,16,little_endian,否,,1,-15000,-15000,15000,rpm,TM_MCU,"{""description"": ""转速的正负表示电机旋转的方向，与发动机正常转动方向同向为正""}"
0x0CFF0005,TM_MCU_STATUS_1,8,10,TM_MCU,,TM_Motor_Speed,0,16,little_endian,否,,1,-15000,-15000,15000,rpm,HCU,"{""description"": ""电机转速正负表示电机转向，转速为正时与发动机正常转动方向一致""}"
0x0CFF0005,TM_MCU_STATUS_1,8,10,TM_MCU,,TM_Motor_Torque,16,16,little_endian,否,,1,-5000,-5000,5000,Nm,HCU,"{""description"": ""扭矩大于0为转矩方向与发动机转向相同""}"
0x0CFF0005,TM_MCU_STATUS_1,8,10,TM_MCU,,TM_Motor_AC_Current,32,16,little_endian,否,,0.1,0,0,1000,A,HCU,"{""description"": ""交流侧电流有效值反馈""}"
0x0CFF0005,TM_MCU_STATUS_1,8,10,TM_MCU,,TM_Precharge_Allow,52,1,little_endian,否,,1,0,0,1,,HCU,"{""0"": ""disable"", ""1"": ""enable""}"
0x0CFF0005,TM_MCU_STATUS_1,8,10,TM_MCU,,TM_Active_Discharge_Enable,53,1,little_endian,否,,1,0,0,1,,HCU,"{""0"": ""disable"", ""1"": ""enable""}"
0x0CFF0005,TM_MCU_STATUS_1,8,10,TM_MCU,,TM_IGBT_Enable_Feedback,54,1,little_endian,否,,1,0,0,1,,HCU,"{""0"": ""disable"", ""1"": ""enable""}"
0x0CFF0005,TM_MCU_STATUS_1,8,10,TM_MCU,,TM_Life_Counter_1,60,4,little_endian,否,,1,0,0,15,,HCU,"{""description"": ""循环计数器""}"
0x0CFF0105,TM_MCU_STATUS_2,8,50,TM_MCU,,TM_Motor_Temperature,0,8,little_endian,否,,1,-40,-40,215,℃,HCU,"{""description"": ""电机温度""}"
0x0CFF0105,TM_MCU_STATUS_2,8,50,TM_MCU,,TM_MCU_Temperature,8,8,little_endian,否,,1,-40,-40,215,℃,HCU,"{""description"": ""电机控制器温度""}"
0x0CFF0105,TM_MCU_STATUS_2,8,50,TM_MCU,,TM_Torque_Limit_High,16,16,little_endian,否,,1,0,0,5000,Nm,HCU,"{""description"": ""转矩上限""}"
0x0CFF0105,TM_MCU_STATUS_2,8,50,TM_MCU,,TM_Torque_Limit_Low,32,16,little_endian,否,,1,-5000,-5000,0,Nm,HCU,"{""description"": ""转矩下限""}"
0x0CFF0105,TM_MCU_STATUS_2,8,50,TM_MCU,,TM_Fail_Grade,48,4,little_endian,否,,1,0,0,3,,HCU,"{""0"": ""No Fault"", ""1"": ""Warning(degraded)"", ""2"": ""Fault(zero torque output)"", ""3"": ""Fault(shut down MCU)""}"
0x0CFF0105,TM_MCU_STATUS_2,8,50,TM_MCU,,TM_Life_Counter_2,60,4,little_endian,否,,1,0,0,15,,HCU,"{""description"": ""循环计数器""}"
0x0CFF0205,TM_MCU_STATUS_3,8,100,TM_MCU,,TM_Fault_Code,0,8,little_endian,否,,1,0,0,255,,HCU,"{""description"": ""错误故障码""}"
0x0CFF0205,TM_MCU_STATUS_3,8,100,TM_MCU,,TM_Alarm_Code,8,8,little_endian,否,,1,0,0,255,,HCU,"{""description"": ""告警故障码""}"
0x0CFF0205,TM_MCU_STATUS_3,8,100,TM_MCU,,TM_DC_Current,16,16,little_endian,否,,1,-1000,-1000,1000,A,HCU,"{""description"": ""直流电流（估计值，不建议作为控制量），电机驱动状态为负，发电状态为正""}"
