消息ID,消息名称,消息长度,周期时间(ms),发送者,消息备注(JSON),信号名称,起始位,长度(bit),字节序,有符号,初值,缩放系数,偏移,最小值,最大值,单位,接收者,备注(JSON)
0xCFF05EF,TM_HCU_Command,8,10,HCU,"{""description"":""整车命令到电机控制器""}",MCU_Enable,0,1,little_endian,否,0,1,0,0,1,,"MCU","{"0":"disable","1":"enable"}"
0xCFF05EF,TM_HCU_Command,8,10,HCU,"{""description"":""整车命令到电机控制器""}",Fault_Reset,1,1,little_endian,否,0,1,0,0,1,,"MCU","{"0":"disable","1":"enable"}"
0xCFF05EF,TM_HCU_Command,8,10,HCU,"{""description"":""整车命令到电机控制器""}",Control_Mode,2,2,little_endian,否,0,1,0,0,3,,"MCU","{"0":"Neutral","1":"Speed_Control","2":"Torque_Control","3":"Active_Discharge"}"
0xCFF05EF,TM_HCU_Command,8,10,HCU,"{""description"":""整车命令到电机控制器""}",Gear,4,2,little_endian,否,0,1,0,0,2,,"MCU","{"0":"Neutral","1":"Drive","2":"Reverse"}"
0xCFF05EF,TM_HCU_Command,8,10,HCU,"{""description"":""整车命令到电机控制器""}",FootBrake,6,1,little_endian,否,0,1,0,0,1,,"MCU","{"0":"No","1":"Yes"}"
0xCFF05EF,TM_HCU_Command,8,10,HCU,"{""description"":""整车命令到电机控制器""}",HandBrake,7,1,little_endian,否,0,1,0,0,1,,"MCU","{"0":"No","1":"Yes"}"
0xCFF05EF,TM_HCU_Command,8,10,HCU,"{""description"":""整车命令到电机控制器""}",Demand_Limit_High,8,12,little_endian,否,0,4,0,0,16384,rpm,MCU,"{""description"":""转速指令限值上限""}"
0xCFF05EF,TM_HCU_Command,8,10,HCU,"{""description"":""整车命令到电机控制器""}",Demand_Limit_Low,20,12,little_endian,否,0,4,0,0,16384,rpm,MCU,"{""description"":""转速指令限值下限(网络为正数,执行按负值处理)"}"
0xCFF05EF,TM_HCU_Command,8,10,HCU,"{""description"":""整车命令到电机控制器""}",Demand_Torque,32,16,little_endian,是,0,1,-5000,-5000,5000,Nm,MCU,"{""description"":""转矩需求(正负表示力的方向)""}"
0xCFF05EF,TM_HCU_Command,8,10,HCU,"{""description"":""整车命令到电机控制器""}",Demand_Speed,48,16,little_endian,是,0,1,-15000,-15000,15000,rpm,MCU,"{""description"":""转速需求(正负表示电机转向)""}"
0xCFF0005,TM_MCU_STATUS_1,8,10,MCU,"{""description"":""电机控制器状态反馈1""}",Motor_Speed,0,16,little_endian,是,0,1,-15000,-15000,15000,rpm,HCU,"{""description"":""电机转速(正负表示转向)""}"
0xCFF0005,TM_MCU_STATUS_1,8,10,MCU,"{""description"":""电机控制器状态反馈1""}",Motor_Torque,16,16,little_endian,是,0,1,-5000,-5000,5000,Nm,HCU,"{""description"":""电机转矩(正负表示方向)""}"
0xCFF0005,TM_MCU_STATUS_1,8,10,MCU,"{""description"":""电机控制器状态反馈1""}",Motor_AC_Current,32,16,little_endian,否,0,0.1,0,0,1000,A,HCU,"{""description"":""AC电流有效值反馈""}"
0xCFF0005,TM_MCU_STATUS_1,8,10,MCU,"{""description"":""电机控制器状态反馈1""}",Precharge_Allow,52,1,little_endian,否,0,1,0,0,1,,"HCU","{"0":"disable","1":"enable"}"
0xCFF0005,TM_MCU_STATUS_1,8,10,MCU,"{""description"":""电机控制器状态反馈1""}",Active_Discharge_Enable_Feedback,53,1,little_endian,否,0,1,0,0,1,,"HCU","{"0":"disable","1":"enable"}"
0xCFF0005,TM_MCU_STATUS_1,8,10,MCU,"{""description"":""电机控制器状态反馈1""}",IGBT_Enable_Feedback,54,1,little_endian,否,0,1,0,0,1,,"HCU","{"0":"disable","1":"enable"}"
0xCFF0005,TM_MCU_STATUS_1,8,10,MCU,"{""description"":""电机控制器状态反馈1""}",Life_Counter,60,4,little_endian,否,0,1,0,0,15,,"HCU","{"description":"循环计数器"}"
0xCFF0105,TM_MCU_STATUS_2,8,50,MCU,"{""description"":""电机控制器状态反馈2""}",Motor_Temperature,0,8,little_endian,否,0,1,-40,-40,215,degree_Celsius,HCU,"{""description"":""电机温度""}"
0xCFF0105,TM_MCU_STATUS_2,8,50,MCU,"{""description"":""电机控制器状态反馈2""}",MCU_Temperature,8,8,little_endian,否,0,1,-40,-40,215,degree_Celsius,HCU,"{""description"":""电机控制器温度""}"
