消息ID,消息名称,消息长度,周期时间(ms),发送者,消息备注(JSON),信号名称,起始位,长度(bit),字节序,有符号,初值,缩放系数,偏移,最小值,最大值,单位,接收者,备注(JSON)
0x0CFF09EF,TM_HCU_Command,8,10,HCU,,MCU_Enable,0,1,little_endian,否,,1,0,0,1,,MCU,"{""0"": ""disable"", ""1"": ""enable"", ""description"": ""电机控制单元使能控制器的使能指令具体指控制器IGBT的PWM开关指令""}"
0x0CFF09EF,TM_HCU_Command,8,10,HCU,,FaultReset,1,1,little_endian,否,,1,0,0,1,,MCU,"{""0"": ""disable"", ""1"": ""enable"", ""description"": ""用于清除控制器的故障主要用于调试整车运行中不建议使用""}"
0x0CFF09EF,TM_HCU_Command,8,10,HCU,,CtrlMode,2,2,little_endian,否,,1,0,0,3,,MCU,"{""0"": ""Reserved"", ""1"": ""Speed Control"", ""2"": ""Torque Control"", ""3"": ""Active Discharge""}"
0x0CFF09EF,TM_HCU_Command,8,10,HCU,,LiveCounter,4,4,little_endian,否,,1,0,0,15,,MCU,"{""description"": ""循环计数器Alive Rolling Counter""}"
0x0CFF09EF,TM_HCU_Command,8,10,HCU,,DemandLimitHigh,8,12,little_endian,否,,1,0,0,4095,,MCU,"{""description"": ""转矩转速指令限值上限转矩控制模式时转速限制起作用转速控制模式时转矩限制起作用转矩单位Nm转速单位rpm缩放系数转矩1转速4""}"
0x0CFF09EF,TM_HCU_Command,8,10,HCU,,DemandLimitLow,20,12,little_endian,否,,1,0,0,4095,,MCU,"{""description"": ""转矩转速指令限值下限网络上发送的是正数值但电机控制器实际执行按负值处理""}"
0x0CFF09EF,TM_HCU_Command,8,10,HCU,,DemandTorque,32,16,little_endian,是,,1,-5000,-5000,5000,Nm,MCU,"{""description"": ""转矩的正负表示力的方向规定发动机旋转方向为正向""}"
0x0CFF09EF,TM_HCU_Command,8,10,HCU,,DemandSpeed,48,16,little_endian,是,,1,-15000,-15000,15000,rpm,MCU,"{""description"": ""转速的正负表示电机旋转的方向与发动机正常转动方向同向为正""}"
0x0CFF0009,TM_MCU_Status1,8,10,MCU,,MotorSpeed,0,16,little_endian,是,,1,-15000,-15000,15000,rpm,HCU,"{""description"": ""电机转速正负表示电机转向转速为正时与发动机正常转动方向一致""}"
0x0CFF0009,TM_MCU_Status1,8,10,MCU,,MotorTorque,16,16,little_endian,是,,1,-5000,-5000,5000,Nm,HCU,"{""description"": ""扭矩大于0为转矩方向与发动机转向相同""}"
0x0CFF0009,TM_MCU_Status1,8,10,MCU,,MotorACCurrent,32,16,little_endian,否,,0.1,0,0,1000,A,HCU,"{""description"": ""交流侧电流有效值反馈AC Current RMS value feedback""}"
0x0CFF0009,TM_MCU_Status1,8,10,MCU,,PrechargeAllow,52,1,little_endian,否,,1,0,0,1,,HCU,"{""0"": ""disable"", ""1"": ""enable"", ""description"": ""允许预充电不建议使用只要电机未报故障就允许预充电""}"
0x0CFF0009,TM_MCU_Status1,8,10,MCU,,ActDischgEnableFdbk,53,1,little_endian,否,,1,0,0,1,,HCU,"{""0"": ""disable"", ""1"": ""enable"", ""description"": ""主动放电反馈""}"
0x0CFF0009,TM_MCU_Status1,8,10,MCU,,IGBTEnableFeedback,54,1,little_endian,否,,1,0,0,1,,HCU,"{""0"": ""disable"", ""1"": ""enable"", ""description"": ""IGBT使能状态反馈可以结合FailGrade来判断正常使能工作情况下该位为1""}"
0x0CFF0009,TM_MCU_Status1,8,10,MCU,,LiveCounter,60,4,little_endian,否,,1,0,0,15,,HCU,"{""description"": ""循环计数器Alive Rolling Counter""}"
0x0CFF0109,TM_MCU_Status2,8,50,MCU,,MotorTemperature,0,8,little_endian,否,,1,-40,-40,215,℃,HCU,"{""description"": ""电机本体温度最低温只能测到22度""}"
0x0CFF0109,TM_MCU_Status2,8,50,MCU,,MCUTemperature,8,8,little_endian,否,,1,-40,-40,215,℃,HCU,"{""description"": ""电机控制器温度""}"
0x0CFF0109,TM_MCU_Status2,8,50,MCU,,TorqueLimitHigh,16,16,little_endian,否,,1,0,0,5000,Nm,HCU,"{""description"": ""转矩上限""}"
0x0CFF0109,TM_MCU_Status2,8,50,MCU,,TorqueLimitLow,32,16,little_endian,是,,1,-5000,-5000,0,Nm,HCU,"{""description"": ""转矩下限""}"
0x0CFF0109,TM_MCU_Status2,8,50,MCU,,FailGrade,48,4,little_endian,否,,1,0,0,4,,HCU,"{""0"": ""No Fault"", ""1"": ""Warning(degraded)"", ""2"": ""Fault(zero torque output)"", ""3"": ""Fault(shut down MCU)"", ""4"": ""Serious Fault(need to stop the vehicle)""}"
0x0CFF0109,TM_MCU_Status2,8,50,MCU,,LiveCounter,60,4,little_endian,否,,1,0,0,15,,HCU,"{""description"": ""循环计数器Alive Rolling Counter""}"
0x0CFF0209,TM_MCU_Status3,8,100,MCU,,DTCCode,0,16,little_endian,否,,1,0,0,65535,,HCU,"{""description"": ""错误故障码Diagnostic Trouble Code""}"
0x0CFF0209,TM_MCU_Status3,8,100,MCU,,DCCurrent,16,16,little_endian,是,,1,-1000,-1000,1000,A,HCU,"{""description"": ""直流电流估计值不建议作为控制量电机驱动状态为负发电状态为正""}"
0x0CFF0209,TM_MCU_Status3,8,100,MCU,,DCVoltage,32,16,little_endian,否,,0.1,0,0,1000,V,HCU,"{""description"": ""直流电压""}"
0x0CFF0209,TM_MCU_Status3,8,100,MCU,,MotorRotationCnt,48,8,little_endian,否,,1,0,0,255,转,HCU,"{""description"": ""电机转数循环计数到255后回0用于记录转了多少圈满255之后清零可以和仪表配合进行精确里程计算""}"
0x0CFF0209,TM_MCU_Status3,8,100,MCU,,LiveCounter,60,4,little_endian,否,,1,0,0,15,,HCU,"{""description"": ""循环计数器Alive Rolling Counter""}"
0x0CFF0309,TM_MCU_Status4,8,100,MCU,,HwErrCode1,0,8,little_endian,否,,1,0,0,255,,HCU,"{""1"": ""母线电压欠压故障"", ""2"": ""母线电压过压故障"", ""description"": ""电压故障""}"
0x0CFF0309,TM_MCU_Status4,8,100,MCU,,HwErrCode2,8,8,little_endian,否,,1,0,0,255,,HCU,"{""1"": ""硬件限流故障"", ""2"": ""硬件过流故障"", ""description"": ""电流故障""}"
0x0CFF0309,TM_MCU_Status4,8,100,MCU,,HwErrCode3,16,8,little_endian,否,,1,0,0,255,,HCU,"{""1"": ""电机控制器温度断线故障"", ""2"": ""电机控制器过温故障"", ""3"": ""电机温度断线故障"", ""4"": ""电机温度过温故障"", ""description"": ""温度故障""}"
0x0CFF0309,TM_MCU_Status4,8,100,MCU,,HwErrCode4,24,8,little_endian,否,,1,0,0,255,,HCU,"{""1"": ""IGBT模块故障"", ""description"": ""IGBT模块故障""}"
0x0CFF0309,TM_MCU_Status4,8,100,MCU,,HwErrCode5,32,8,little_endian,否,,1,0,0,255,,HCU,"{""1"": ""编码器断线故障"", ""description"": ""编码器断线故障""}"
0x0CFF0309,TM_MCU_Status4,8,100,MCU,,HwErrCode6,40,8,little_endian,否,,1,0,0,255,,HCU,"{""1"": ""控制器内部控制电源异常故障5V异常"", ""2"": ""外供控制器控制电源异常故障24V输入断线或低于18V"", ""description"": ""控制电源异常故障""}"
0x0CFF0309,TM_MCU_Status4,8,100,MCU,,LiveCounter,60,4,little_endian,否,,1,0,0,15,,HCU,"{""description"": ""循环计数器Alive Rolling Counter""}"
