消息ID,消息名称,消息长度,周期时间(ms),发送者,消息备注(JSON),信号名称,起始位,长度(bit),字节序,有符号,初值,缩放系数,偏移,最小值,最大值,单位,接收者,备注(JSON)
0x18FF01EF,VCU_Command,8,100,VCU,,MainPosCont,0,2,little_endian,否,,1,0,0,3,,PDU,"{""0"": ""断开"", ""1"": ""吸合"", ""2-3"": ""保留"", ""description"": ""主正继电器吸合指令""}"
0x18FF01EF,VCU_Command,8,100,VCU,,PreChgCont,2,2,little_endian,否,,1,0,0,3,,PDU,"{""0"": ""断开"", ""1"": ""吸合"", ""2-3"": ""保留"", ""description"": ""预充继电器吸合指令""}"
0x18FF01EF,VCU_Command,8,100,VCU,,DCDCMainPosCont,4,2,little_endian,否,,1,0,0,3,,PDU,"{""0"": ""断开"", ""1"": ""吸合"", ""2-3"": ""保留"", ""description"": ""DCDC主正继电器吸合指令""}"
0x18FF01EF,VCU_Command,8,100,VCU,,DCDCPreChgCont,6,2,little_endian,否,,1,0,0,3,,PDU,"{""0"": ""断开"", ""1"": ""吸合"", ""2-3"": ""保留"", ""description"": ""DCDC预充继电器吸合指令""}"
0x18FF01EF,VCU_Command,8,100,VCU,,G8SteerRelayCont,8,2,little_endian,否,,1,0,0,3,,PDU,"{""0"": ""断开"", ""1"": ""吸合"", ""2-3"": ""保留"", ""description"": ""G8转向继电器吸合指令""}"
0x18FF01EF,VCU_Command,8,100,VCU,,G8SteerPreChgCont,10,2,little_endian,否,,1,0,0,3,,PDU,"{""0"": ""断开"", ""1"": ""吸合"", ""2-3"": ""保留"", ""description"": ""G8转向预充继电器吸合指令""}"
0x18FF01EF,VCU_Command,8,100,VCU,,G7SteerRelayCont,14,2,little_endian,否,,1,0,0,3,,PDU,"{""0"": ""断开"", ""1"": ""吸合"", ""2-3"": ""保留"", ""description"": ""G7转向继电器吸合指令""}"
0x18FF01EF,VCU_Command,8,100,VCU,,G7SteerPreChgCont,16,2,little_endian,否,,1,0,0,3,,PDU,"{""0"": ""断开"", ""1"": ""吸合"", ""2-3"": ""保留"", ""description"": ""G7转向预充继电器吸合指令""}"
0x18FF01EF,VCU_Command,8,100,VCU,,MainNegCont,18,2,little_endian,否,,1,0,0,3,,PDU,"{""0"": ""断开"", ""1"": ""吸合"", ""2-3"": ""保留"", ""description"": ""主负继电器吸合指令""}"
0x18FF01EF,VCU_Command,8,100,VCU,,CanLife,32,8,little_endian,否,,1,0,0,255,,PDU,"{""description"": ""0-255循环发送""}"
0x18FF02F0,PDU_State1,8,100,PDU,,PDUSelfCheckSts,0,2,little_endian,否,,1,0,0,3,,VCU,"{""0"": ""自检中"", ""1"": ""正常"", ""2"": ""故障"", ""3"": ""保留""}"
0x18FF02F0,PDU_State1,8,100,PDU,,MSDConnectSts,4,2,little_endian,否,,1,0,0,3,,VCU,"{""0"": ""断开"", ""1"": ""连接"", ""2-3"": ""保留"", ""description"": ""MSD连接状态""}"
0x18FF02F0,PDU_State1,8,100,PDU,,MainPosRelaySts,6,2,little_endian,否,,1,0,0,3,,VCU,"{""0"": ""断开"", ""1"": ""吸合"", ""2"": ""粘连"", ""3"": ""保留"", ""description"": ""主正继电器状态""}"
0x18FF02F0,PDU_State1,8,100,PDU,,PreChgRelaySts,8,2,little_endian,否,,1,0,0,3,,VCU,"{""0"": ""断开"", ""1"": ""吸合"", ""2"": ""粘连"", ""3"": ""保留"", ""description"": ""预充继电器状态""}"
0x18FF02F0,PDU_State1,8,100,PDU,,DCDCMainPosSts,10,2,little_endian,否,,1,0,0,3,,VCU,"{""0"": ""断开"", ""1"": ""吸合"", ""2"": ""粘连"", ""3"": ""保留"", ""description"": ""DCDC主正继电器状态""}"
0x18FF02F0,PDU_State1,8,100,PDU,,DCDCPreChgSts,12,2,little_endian,否,,1,0,0,3,,VCU,"{""0"": ""断开"", ""1"": ""吸合"", ""2"": ""粘连"", ""3"": ""保留"", ""description"": ""DCDC预充继电器状态""}"
0x18FF02F0,PDU_State1,8,100,PDU,,G8SteerRelaySts,14,2,little_endian,否,,1,0,0,3,,VCU,"{""0"": ""断开"", ""1"": ""吸合"", ""2"": ""粘连"", ""3"": ""保留"", ""description"": ""G8转向继电器状态""}"
0x18FF02F0,PDU_State1,8,100,PDU,,G8SteerPreChgSts,16,2,little_endian,否,,1,0,0,3,,VCU,"{""0"": ""断开"", ""1"": ""吸合"", ""2"": ""粘连"", ""3"": ""保留"", ""description"": ""G8转向预充继电器状态""}"
0x18FF02F0,PDU_State1,8,100,PDU,,G7SteerRelaySts,18,2,little_endian,否,,1,0,0,3,,VCU,"{""0"": ""断开"", ""1"": ""吸合"", ""2"": ""粘连"", ""3"": ""保留"", ""description"": ""G7转向继电器状态""}"
0x18FF02F0,PDU_State1,8,100,PDU,,G7SteerPreChgSts,20,2,little_endian,否,,1,0,0,3,,VCU,"{""0"": ""断开"", ""1"": ""吸合"", ""2"": ""粘连"", ""3"": ""保留"", ""description"": ""G7转向预充继电器状态""}"
0x18FF02F0,PDU_State1,8,100,PDU,,MainNegRelaySts,22,2,little_endian,否,,1,0,0,3,,VCU,"{""0"": ""断开"", ""1"": ""吸合"", ""2"": ""粘连"", ""3"": ""保留"", ""description"": ""主负继电器状态""}"
